Arabic Sentence,English Sentence
بس المشكله ان الوقت بيجرى بسرعه بعد الفطار الواحد مش بيلحق يعمل كل اللى هو عاوزه.,"""Today I will talk about a wonderful month, a month always special for Egyptians–not just for Egyptians, but for Muslims in general."""
بعد لما اخلص لعب بروح اشترى الزبادى و الفول علشان السحور.,I will talk about the month of Ramadan.
بنتسحر و نصلى الفجر و بعد كدا بنام.,Although the people don’t eat or drink from fajr [before dawn] until maghrib [sunset] people are still active and can work and go about their business.
بابا جابلى فانوس صغير كهديه بمناسبة بدايه شهر رمضان.,"""First, I’ll tell you how people prepare for Ramadan."""
كل الناس فى مصر بيحبوا شهر رمضان، سواء كانوا مسلمين او مسحيين، و بيحتفلوا بيه كل سنه.,Everyone has preparations to make for Ramadan.
و انا كواحده من الناس المصريين بحب شهر رمضان اوى، لان الشهر ده مرتبط بالنسبه لى بالفرحه و بالبهجه و لمة العيله و الصحاب.,"""For example, children buy Ramadan lanterns that they play with."""
قبل بداية رمضان بكام يوم انا و اخواتى عملنا زينه علشان نزين البيت كنوع من انواع الاحتفال بالشهر الرائع ده.,People also buy Ramadan decorations to hang in the streets to beautify the streets.
عملنا الزينه من الورق و استخدمنا مقصات و صمغ .,"""And people buy Ramadan yameesh [mixed nuts and dried fruit] such as date, dried apricots, raisins, and other things."""
التعاون مع اخواتى علشان نعمل الزينه بيقربنى منهم اكتر و اكتر كل سنه .,Then I will talk about how we spend the day during Ramadan from when we get up until suhoor [pre-dawn meal].
فى رمضان بنصوم من الفجر و لحد المغرب.,"""As soon as I wake up, I perform the ritual ablution, pray, and read from the Quran."""
يعنى بنفضل طول النهار بدون اى اكل او شرب و بليل بناكل و بنشرب عادى جدا.,Then I go see what my mom wants from outside and I go out to buy it.
اول مره اصوم كانت و انا عندى سبع سنين.,"""After that, when I come back, I might play with my brother or play on the computer until the evening call to prayer."""
كنت صغيره اوى وقتها.,"""Then we have iftar [sunset meal] and drink different kinds of juices, such as date and sobia."""
و كان الصيام صعب عليا و علشان كده كنت بصوم لحد الظهر بس.,And there are other famous juices during Ramadan.
و لما كبرت شويه و بقى عندى عشر سنين، بدأت اصوم فتره اطول من النها.,And we eat wonderful food.
بس برضه مكنتش بصوم اليوم كامل.,The food at Ramadan is always different from any other month.
دلوقتى انا كبرت خلاص و بقدر اصوم طول النهار من غير اى مشكله.,"""Then after we finish eating and praying, I go out with my friends to go out or play ping pong or PlayStation."""
فى رمضان بيكون فيه وجبتين اساسيتين .,Or we go for a walk and drink juice or eat ice cream or sweets like kunafeh or katayf.
اول وجبه هى “الفطار” و بتكون بعد المغرب على طول، و تانى وجبه هى “السحور” و بتكون قبل الفجر بساعه او ساعتين.,But the problem is that time flies by so fast after iftar that you don’t have time to do everything you want.
كل الناس فى مصر بيلتزموا بميعاد الوجبتين دول و علشان كده فى التوقيت ده الشوارع بتكون فاضيه و المحلات بتكون قافله، و كل الناس بيكونوا فى بيوتهم قاعدين مع عيلاتهم و اصحابهم.,"""After I finish playing (around), I go buy yogurt and beans for suhoor."""
من الحاجات اللى بتكون موجود فى رمضان بس “المسحراتى”.,"""We eat suhoor, perform the fajr prayer, and then go to sleep."""
المسحراتى شخص بيطبل على طبله صغيره طول ما هو ماشى فى الشوارع قبل الفجر بساعه او ساعتين، علشان يصحى الناس علشان ياكلوا لاخر مره قبل ما يبدئوا صيام.,My dad gave me a small lantern as a gift for the beginning of Ramadan.
و غالبا هو بينادى او بيغنى اسامى سكان الحى.,"""Everyone in Egypt loves Ramadan, whether they are Muslims or Christians."""
و فى نهاية رمضان بيروح للبيوت الموجوده فى الحى اللى اشتغل فيه علشان يجمع بعض الفلوس الرمزيه.,And they celebrate it every year.
كل رمضان بصحا لوجبه “السحور” على صوت المسحراتى.,"""And I, being Egyptian, love Ramadan so much because this month is related in my opinion to joy and happiness and the gathering of family and friends."""
بعد كل اللى حكيته اكيد بقى واضح جدا قد ايه انا بحب شهر رمضان.,"""A few days before the beginning of Ramadan, my siblings and I made decorations to decorate our home as a kind of celebration of this wonderful month."""
رمضان سعيد على الجميع.,"""We made the decorations out of paper, and we used scissors and glue."""
اهلا بيكم.,Cooperating with my siblings to make the decorations makes me closer to them every year.
السنه دى ٢٥ يناير كان بالنسبه لى يوم له اهميه خاصه جداً، مش لاسباب سياسيه و لكن لانه كان بداية رحله جميله جداً قمت بيها انا و اسرتى الصغيره لاحب مكان الى قلبى: الاقصر و اسوان.,"""During Ramadan, we fast from dawn until sunset."""
علاقة الحب بينى و بين المكان ده بدات من حوالى ١٠ سنين لما رحت هناك اول مره.,"""In other words, we go all day without eating or drinking anything, but at night we eat and drink very normally."""
كنت ساعتها طالعه فى رحله تبع جمعية بيوت الشباب.,My first time fasting was when I was 7 years old.
و قضينا انا وصاحباتى ٧ ايام كانوا من اجمل ما يمكن، لدرجه انى قعدت فتره بعدها بادور جدياً على شغل فى اسوان عشان اروح اعيش هناك بصفه دايمه.,"""I was too little back then, and fasting was hard for me, so I only fasted until midday."""
و يمكن يكون حبى للمكان ده كان من ضمن اسباب ارتباطى بجوزى اللى جاى من نفس الارض السمرا الطيبه زى ما بحب اسميها.,"""When I got a little older and turned ten, I started to fast for a longer period of the day, but I couldn’t fast the entire day."""
نرجع ليوم ٢٥ يناير، اتحركنا من القاهره بالاتوبيس مش بالقطر.,"""Now I’m all grown up, and I can fast all day without any issue."""
بصراحه كنت متخوفه شويه يكون متعب، لكن على العكس، كانت الرحله مريحه لانه السفر كان بالليل و كان الولاد نايمين.,There are two important meals at Ramadan.
استغرقنا ٨ ساعات و وصلنا الاقصر الصبح الساعه ٩.,"""The first meal is “iftar”, which is directly after sunset, and the second meal is “suhoor“, and it’s one or two hours before dawn."""
المفاجاه اللى عملهالنا احمد جوزى كانت انه احنا مش نازلين فى فندق، انه كان حاجزلنا فى رحله نيليه.,"""Everyone in Egypt is committed to these two mealtimes, and because of this, at these times the streets are empty and shops are closed, and everyone is in their homes sitting with their families and friends."""
يعنى هنقضى ٥ ايام على باخره وسط النيل و الخضره و الارض الطيبه.,Among the things that are only found during Ramadan is the “musaharati”.
كنا متحمسين جداً كلنا.,The musaharati is someone who plays on a small drum while wondering the streets one or two hours before dawn to wake people up so they can eat for the last time before they start fasting.
و بمجرد وصولنا حطينا شنطنا، و بعد الاكل اتحركنا مباشره على البر الغربى لمدينه الاقصر.,And he usually calls out or chants the names of the residents of the neighborhood.
اول حاجه اتوجهنا لوادى الملوك.,"""And at the end of Ramadan, he goes around to the houses in the neighborhood he worked in to collect some token money."""
و لما دخلنا شوفنا مجسم كبير بيوضح شكل الجبل و المقابر اللى محفوره جواه، اد ايه هى عميقه و متشعبه.,Every Ramadan I wake up to musaharati’s voice for the suhoor meal.
نزلنا فعلياً ٣ مقابر منهم، و عجبنى اوى نقوشات مقبره رمسيس السادس.,"""After what I have told [you], it’s surely now very clear how much  I love the month of Ramadan."""
لما جيت قبل كده زمان دخلت مقبره توت عنخ آمون، اللى طبعاً كانت روعه، بس المره دى مكانتش مفتوحه.,Happy Ramadan to everyone!
بعد كده اتحركنا على معبد الملكه حتشبسوت.,Hello.
طبعاً ده رمز للجمال والفخامه.,"""This year, the 25th of January was a day of very special importance for me, not because of political reasons, but because it was the beginning of a very beautiful journey that I took with my small family to the most beloved place to my heart: Luxor and Aswan."""
ازاى عملوا الصرح الانيق ده جوه الجبل!,This love between me and that place began 10 years ago when I first went there.
؟,"""At that time, I was on a trip with the youth hostels organization."""
و مش بس المعبد اللى مبهر، لكن كمان لو وقفنا قدام المعبد و ادينا ضهرنا ليه و بصينا، هنشوف منظر المدينه كلها من فوق الجبل.,My friends and I spent seven days [there] that were simply wonderful.
منظر مش هتنساه.,"""So much so that I took sometime after that to seriously look for a job in Aswan, so that I could go live there permanently."""
معبد حتشبسوت على اد الابهار اللى فيه لا يضاهيه فى الجمال من وجهه نظرى الا معبد ابو سمبل، اللى انا بعتبره شخصياً دره المعابد المصريه القديمه، اللى فعلاً تجربه الوقوف قدامه لا يماثلها شئ.,"""And maybe my love for that place was one of the reasons for my getting together with my husband, who comes from the same good, dark land, as I like to call it."""
الموضوع لسه طويل.,"""Getting back to the 25th of January, we set off from Cairo by bus, not by train."""
هاكملكو الحكايه المره الجايه.,"""To be honest, I was a little afraid that it’d be exhausting, but on the contrary, it was comfortable because it was at night and the boys were sleeping."""
انا راجل عاشق للموسيقى.,"""It took us eight hours, and we arrived in Luxor at 9 am."""
من اكتر الحاجات اللى بديها حيز من اهتماماتى هى الموسيقى بجميع انواعها.,"""The surprise my husband, Ahmad, made was that we weren’t staying in a hotel, [but] that he had booked us on a Nile cruise."""
و بقضى وقت كبير بختار الاغانى و الموسيقى و الفرق اللى بسمعهم، و عشان انا كده فا ليا صحاب كتير ليهم نفس الاهتمامات.,"""That meant we’d be spending five days on a ship surrounded by the Nile, the greenery and the good land."""
و كمان بيعزفوا على آلات موسيقيه.,We were all very excited.
امبارح كلمت صديقى العزيز حسام، عازف العود، و قالى انه هو و اصدقائه فى البيت عنده و عاملين يعزفوا.,"""And as we arrived, we put away our bags, and after eating we went directly to the west bank of Luxor."""
اول ما قالى كده رحت نازل على طول على الرغم من ان الدنيا بتمطر و الشوارع غرقانه.,"""First, we headed to the Valley of the Kings."""
رحت واخد عربيتى و رايحله.,"""When we went in, we saw first a large mockup showing the mountain and the tombs dug in it, and how deep and manifold they are."""
لما قابلته كان معاه اتنين صحابه بيعزفوا على الجيتار و الجميل فى الموضوع ان العود و الجيتار لما بيتجمعوا بيطلعوا خليط جميل من الموسيقى الشرقى و الغربى.,"""We went down into three of the tombs, and I really liked the engravings in the tomb of Ramses VI."""
حسام عزف منفرد الاول اغنيه جميله لام كلثوم و بعديها باهى صديقه رد عليه بمقطوعه جميله لبيتهوفن، و انا قاعد مستمتع جداً بسماع الموسيقى الجميله.,"""When I came [here] years ago, I entered King Tut’s tomb, which of course was magnificent."""
بعد ما كل واحد عزف لوحده قرروا يلعبوا مع بعض فا عزفوا اغنيه لفيروز.,But this time it was closed.
و بعديها اغنيه جميله جداً لنيرفانا اسمها The Man Who Sold the World.,"""After that, we went to the Temple of Queen Hatshepsut."""
و انا كنت قاعد مستمتع جداً و بغنى معاهم على الرغم من صوتى الوحش.,It is a symbol of beauty and might.
الحقيقه انى كنت مروح مبسوط جداً من هذه الامسيه الفنيه الجميله و نمت نوم هادئ و عميق.,How did they make that elegant building inside the mountain!
الاِسْبوع الجاىّ عنْدى اِمْتِحانات ميدْتِرْم!,"""And it’s not only the temple that is impressive, but also if you stand in front of the temple with your back to it, you’ll see a view of the whole city from up on the mountain–a scene you’ll never forget."""
انا بدْرِس فى كُلِّيِّة الهنْدسه و السّنه دى هِىَّ آخِر سنه لِيّا اِن شاء الله.,"""The Temple of Hatshepsut, with all the dazzlement in it, from my point of view, can only be rivaled by the Abu Simbel temple, which I personally consider as the jewel of the ancient Egyptian temples, where really the experience of standing in front of it is a priceless experience."""
المفْروض اتْخرّج فى يونْيو ٢٠١٦.,There’s still a lot more to tell.
ايّام الثّانويه انا كُنْت طالِب مُجْتَهِد و مُمَيِّز جِدّاً.,The subject is still long.
كُنْت محْبوب مِن المُدرِّسين و كُنْت دايْماً بنافِس عَلَى المراكِز الاُولَى فى الترْتيب عَلَى فصْلى و عَلَى المدْرسه.,] I’ll finish the story for you next time.
لكِن الوَضْع اِتْغيّر لمّا دخلْت الكُلّيه.,I am a man who adores music.
فى تانى سنه مجْموعى اَجْبرْنى اِنّى ادْخُل قِسْم غَيْر اللى انا كُنْت عايْزُه.,One of the things I dedicate my time to most is music with all its genres.
القِسْم اللى دخلْتُه اِسْمُه الهنْدسه الصِّناعيه.,"""I spend a lot of time choosing the music, songs, and bands I listen to."""
مكُنْتِش حابّه اوى اَوْ بِمعْنَى اصحّ مكُنْتِش اعْرف كِتير عنُّه.,"""And that’s why I have lots of friends who share with me the same interests, as well as play musical instruments."""
فِضِلْت مِتْضايِق لِفتْره طَويله.,"""Yesterday, I phoned my friend Hossam, a lutanist, and he told me that he and two of his friends were at his house playing music."""
مكُنْتِش مُهْتِمّ و مكُنْتِش بحْضر اىّ مُحاضْرات و مكُنْتِش بذاكِر غَيْر ايّام الاِمْتِحانات.,"""As soon as he told me that, I immediately went to see him even though it was raining hard and the streets were covered in water."""
بسّ الحمْدُ لله كُنْت بنْجح.,I took my car and went to see him.
بسّ طبْعاً بِمجْموع وِحِش جِدّاً.,"""When I met him, he had two of his friends with him playing the guitar and the nice thing is that when the lute and guitar are together they produce a beautiful mix of Oriental and Western music."""
معَ مرور الوَقْت بدأْت احِبّ التّخصُّص بِتاعى و اِكْتشفْت بعْد كِده اِنّ ده اكْتر تخصُّص مُناسِب لِيّا و لِاِمْكانِيّاتى!,"""First, Hossam did a solo of a beautiful song by Om Kalthoom, after which Bahi, his friend, responded with a piece by Beethoven, and I was truly enjoying listening to the music."""
اعْتقِد دِلْوَقْتى لَوْ رِجِع بِيّا الزّمن هفضّل القِسْم ده عَلَى اىّ قِسْم تانى.,"""After everyone played a solo, they decided to play together."""
لِلاسف اِكْتشفْت الكلام ده مِتْاخّر شُوَيّه، بسّ اِتْعلِّمْت اِنّى لمّا اكون مُجْبِر عَلَى حاجه مُعيّنه، و معنْديش خِيارات تانْيه، اِنّى ارْضَى بِاللى ربِّنا اِخْتارْهولى و احاوِل اسْتفيد مِنُّه لِاقْصَى حدّ.,So they played a song by Fairouz.
لِاِنّ فى النِّهايه مُمْكِن تِكْتِشِف اِنّ ده كان الطّريق الانْسب ليك مِن البِدايه.,"""After that, they performed a beautiful song by Nirvana called The Man Who Sold the World."""
المُهِمّ، بعْد درجاتى السَّيّئه جِدّاً السّنتَيْن اللى فاتوا.,I was really enjoying myself and singing with them despite my awful voice.
قرّرْت اِنّى اسْتعيد تانى ايّام الثّانَويه.,"""In the end, I went home very happy with this nice, artistic evening and had a calm, deep sleep."""
السّنه دى انا بحْضر كُلّ المُحاضْرات و بذاكِر بِشكْل مُنْتظِم، و ناوى كمان اِن شاء الله اِنّ انا انافِس عَلَى ترْتيب كُوَيِّس عَلَى الدّفْعه.,Next week I have midterm exams!
الاِسْبوع الجاىّ همُرّ بِاوّل اِمْتِحانات رسْميه السّنه دى.,"""I study in the engineering department, and this year is the last year for me, God willing."""
و بِالرّغْم مِن اِنّى عدَّيْت عَلَى اِمْتِحانات اصْعب مِن كِده بِكْتير بسّ حاسِس اِنّى قلْقان شُوَيّه زىّ ايّام الثّانويه تقْريباً.,I should graduate in June 2016.
يِمْكِن دى علامه كُوَيِّسه؟,"""In [my] high school days, I was a very hardworking and distinguished student."""
فا اِتْمنّولى التَّوْفيق لِاِنّى اكيد هاحْتاجُه.,I was loved by the teachers and I was always competing for first place in the rank of my class and the school.
اهلاً بيكم.,But the situation changed when I entered college.
يوم ١٤ / ١١ ده كان يوم ميلادى.,"""In the second year, my grades forced me to enter a department other than the one I wanted."""
بابايا و جوزى و ابنى فاجئونى بتورتايه حلوه اوى.,The department that I entered is called “Industrial Engineering”.
كتبولى عليها كل سنه و انتى طيبه.,"""I didn’t like it much, or in better words, I didn’t know much about it."""
و جابوا حلويات كتير.,I remained upset for a long time.
كان يوم حلو بمعنى الكلمه.,"""I wasn’t interested, and I wasn’t attending any lectures and I wasn’t studying except at exam time."""
هقولكو بصراحه، انا تميت السنه دى ٣٥ سنه مبحبش بقى موضوع انى اخبى سنى و افضل طول عمرى عندى ٢٢ سنه و الكلام ده.,"""But thank God, I was passing."""
و عشان الخمسه و تلاتين بالذات انا بعتبرها نقطه فاصله، او هى منتصف العمر فعلياً.,But of course with very bad grades.
فا قعدت مع نفسى شويه افكر انا اتعلمت ايه من اللى فات و عايزه اعمل ايه فى اللى جاى.,"""Over time, I started to like my major."""
اول حاجه انا لازم اشكر ربنا على كل الناس اللى حطهم فى طريقى طول حياتى لان كلهم هدايا حقيقيه.,And I found out later that this is the most suitable major for me and for my potentials!
و بدعى ربنا انه يقدرنى اسعدهم كلهم و اللى بعد منهم اقدر احافظ على التواصل معاه.,"""I think now if I went back in time, I would prefer this department over any other department."""
تانى حاجه المواظبه.,"""Unfortunately, I found that out a bit late."""
اتاكدت فعلاً انه الواحد يقدر يعمل معجزات لو واظب على حاجه و لو بقدر بسيط يومياً.,"""But I’ve learned when I’m forced [to do] something and I have no other choices, that I’m content with what God has chosen for me, and I try to take advantage of it to the maximum limit."""
و بالنسبه لى ده بيحل مشاكل كتير زى عدم توافر الوقت او الظروف المناسبه عشان اعمل حاجه بحبها.,Because at the end you might find out that this was the most suitable path for you from the beginning.
لكن لو خصصت لها وقت بسيط كل يوم هنجز فيها كتير.,"""Anyway, after my very bad grades in the past two years, I have decided to call upon the days of high school."""
زى ما بيقول نبينا: أحب الأعمال إلى الله ادومها وإن قل.,"""This year, I’m attending all lectures and studying on a regular basis, and I’m also intending, if God wills, to compete for a good rank in my class."""
تالت حاجه انه مفيش حاجه بتيجى متاخر.,Next week I’ll go through the first official exams this year.
هى بتيجى لما الواحد بيكون مستعد و ده زودلى حماستى انى ابدأ فى الحاجه اللى انا بحبها، مكسلش و مقولش اتاخرت.,"""And even though I’ve been through much harder exams than this, I feel a bit worried… like in [my] high school days."""
بالعكس انا اقدر اتعلم اى حاجه و اتقنها واستفيد منها و افيد الناس كمان حتى لو عندى ٧٠ سنه.,Maybe this is a good sign?
مش برضه كولونيل ساندرز قدر يأسس كنتاكى و عمره ٦٥ سنه؟,"""So, wish me luck because I’ll definitely need it."""
يبقى انا كمان هقدر و انتو كمان هتقدروا.,Hello!
كل سنه و انتو طيبين.,November 14th was my birthday.
فصل الشتا خلاص على الابواب.,"""My dad, my husband, and my son surprised me with a very beautiful cake."""
كل واحد ابتدى ينزل الهدوم الشتوى و يشوف ايه اللى ناقصه عشان يشتريه و يرتب هيتعامل فى روتين حياته اليومى ازاى.,They wrote Happy Birthday on it for me.
انا عن نفسى بحب الشتا لاسباب معينه، منها ان لبس الشتا احلى و اشيك و فيه نوع من الاناقه.,They brought lots of sweets.
الشتا يعنى راس السنه قربت باحتفالاتها و اجازه الكريسماس، و لو الواحد معاه فلوس ممكن يقضى الكريسماس بره.,It was a sweet day literally.
كمان الشتا هو الوقت اللى اتجوزت فيه و بحتفل فيه بعيد جوازى.,"""I will tell you frankly, this year I turned 35."""
حاجه كمان ان النزول فى الشتا من البيت بيبقى اقل من الصيف و ده بيخلى الترابط الاسرى للعايله اكتر.,I don’t like hiding my age and staying 22 all my life.
المشكله بقى انى من الاشخاص اللى بيسقعوا بسرعه جداً.,"""And because I consider 35 a special turning point, or it’s actually the middle point of life, so I sat by myself thinking of what I’ve learned before and what I want to do in the future."""
مش بستحمل الجو الساقعه خالص.,"""First of all, I must thank God for all the people he has put in my path all my life because they are all real gifts."""
و عشان كده انا بحب الصيف اكتر من الشتا.,And I pray to God to empower me to make them all happy and to stay in touch with those who are away.
الصيف يعنى البحر و البنات الحلوه، انما الشتا يعنى الصحيان بدرى الصبح فى عز البرد عشان تروح الشغل.,"""Second, persistence."""
ده غير ان الطرق كلها بتبقى غرقانه ميه و السواقه بتبقى خطر اكتر من الصيف.,"""I’m sure that one can perform miracles if they persist in doing something, even in small amounts, on a daily basis."""
الاسبوع اللى فات زرت اسكندريه بلدى الام.,"""For me, this fixes lots of problems, such as not finding quality time or the right circumstances to do something I love."""
و فى اسكندريه الشتا ليه طعم تانى خالص غير باقى مصر.,"""But if I specify a small period of time every day, I’ll accomplish a lot."""
يمكن عشان هى بلد ساحليه، يمكن عشان هى البلد اللى اتربيت فيها.,"""As our prophet says, “The deeds dearest to God are those done regularly, even if a little."""
المهم انها ليها طعم تانى خالص.,"""” Third, nothing comes late."""
القعده على القهوه مع الصحاب و انت بتشرب الشوكولاته السخنه و انت شايف بره الدنيا بتمطر على العربيات و الناس ماشيه بالشماسى و صوت البحر و الموج العالى.,It comes when one is prepared.
كل ده بيخلى اسكندريه ليها مذاق جميل فى الشتا.,"""And that increased my enthusiasm to start [doing] what I love, not to be lazy or to say “I’m late."""
ازيكو؟,"""” On the contrary, I can learn anything, excel in it, benefit from it and also benefit people, even if I ‘m 70."""
المره دى خدت الولاد و رحنا اليابان.,Didn’t colonel Sanders establish KFC when he was 65?
يعنى مش اليابان اوى بس قريب منها!,"""So, I can too."""
و انا صغيره دايما كان بابايا يحكيلى على الشعوب و الحضارات و الفنون المختلفه.,And so can you.
وده خلانى عندى دايما شغف ان انا اتعرف ع الحاجات دى.,Happy year to you!
و لما ولادى ابتدوا يكبروا شويه، حبيت ان انا اشارك معاهم الشغف ده.,The winter season is knocking at our doors.
قررنا نبتدى بالثقافه اليابانيه.,"""Everyone is starting to get out their winter clothes, and make a checklist of what to buy, and arrange how to deal with their daily routine."""
خدنا بعض و رحنا قضينا يوم فى سفارة اليابان فى القاهره.,"""As for myself, I love the winter for specific reasons."""
اول حاجه دخلنا نجرب اللبس اليابانى.,"""For example, winter clothes are nicer and more chic, and have a certain elegance."""
حمزه لبس و ظبط نفسه.,"""Winter means the new year is near, with its celebrations and the Christmas holiday, and if you have money, you can spend Christmas abroad."""
و سلمان اتشجع لما شافه و لبس هو كمان.,"""Also, winter is the time when I got married and I celebrate my anniversary in it."""
و اتصوروا صور جميله اوى.,"""Another thing is that we go out less in the winter than in the summer, which increases family bonding."""
و من ساعتها فضل سلمان مده طويله جدا كل ما يشوف حد يقوله انا لبست اللبس اليابانى.,The problem is that I am one of those people who gets cold very quickly.
كان فرحان اوى.,I cannot tolerate cold weather at all.
بعدها كان فيه ورشة عمل لتعليم فن الاوريجامى و ده عباره عن فن طى الورق بطريقه تحوله لاعمال فنيه غايه فى الروعه.,And that’s why I love summer more than winter.
الورشه كانت معموله للمبتدئين و ده كان مناسب لسن حمزه.,"""Summer means the sea, and hot chicks, while winter means for me getting up early in the cold weather to go to work."""
عملنا فيها فراشه و عملنا بوكيمون.,Not to mention the fact that the roads become covered in water and driving is more dangerous than in summer.
حمزه كان مبسوط اوى بس سلمان كان قاعد يشخبط على الورق و ينزل تحت الترابيزات.,"""Last week, I went for a visit to Alexandria, my hometown, where winter has a different feel than the rest of Egypt."""
يعنى الموضوع ده لسه كبير على سنه شويه و احنا ماشيين اخدنا معانا شوية مجلات جميله اوى بتتكلم عن الحياه و الثقافه اليابانيه.,"""Maybe because it is a coastal city, or maybe because it is my hometown, where I was raised."""
اليوم على بعضه كان ممتع لينا كلنا.,"""But anyway, it has a different feel about it."""
و ان شاء الله ناويين نكرره قريب فى اماكن تانيه نشوفكو قريب فى مغامره جديده!,"""Spending time in the coffee shop with friends while you are drinking hot chocolate and you watch the rain as it pours down on the cars outside, people carrying umbrellas, the sound of the sea and the roaring waves."""
انا بشتغل فى اتصالات و دى شركه من اكبر شركات الاتصالات فى العالم.,All this gives Alexandria a lovely feel in the winter.
اتصالات دايما بيفكروا فى افكار جديده يجذبوا بيها العملا بتوعهم، و كمان بيفكروا دايما فى الموظفين بتوعهم ازاى يحفزوهم و يخلوهم عندهم حب للعمل و افكار جديده تجيب عملا جدد و دخل للشركه.,Hi!
اتصالات كانت الراعى الرسمى للنادى الاهلى، و ده للى ميعرفوش اكبر نادى فى مصر و عنده اكبر جمهور.,This time I took the boys and went to Japan.
و الشراكه دى استمرت من اول انطلاق شركة اتصالات مصر لحد السنه دى، اللى حصل ان فودافون (الشركه المنافسه لاتصالات) فازت بعقد الرعايه للنادى الاهلى و اعلانات شركة فودافون كلها بقت عن النادى الاهلى.,"""Well, not exactly Japan, but close!"""
اتصالات قررت انها ترد الضربه و اعلنت انها بقت الراعى الرسمى لنادى من اكبر النوادى فى العالم و هوا نادى برشلونه، و نزلت بحمله دعائيه كبيره جداً للموضوع ده و عشان تحفز الموظفيين بتوعها قررت انها تعملهم مسابقه مبتكره جداً.,"""When I was little, my father used to tell me about different countries, people, traditions, and arts."""
المسابقه عباره انك تاخد صوره لنفسك مع لوجو نادى برشلونه و لوجو اتصالات مع هاشتاج Play_Big# و تعملها بوست على السوشيال ميديا زى فيسبوك و انستجرام و اكتر صوره هتاخد معجبين صاحبها هيسافر برشلونه على حساب الشركه.,This instilled in me a fondness to learn about these things.
المسابقه كان ليها هدفين: الهدف الاول ان الموظفين يعملوا دعايه و ترويج لاتصالت و الهدف التانى ان الموظفين يحسوا بالشراكه دى و يحبوا الشركه اكتر.,"""And when my kids grew up a little, I wanted to share this love with them."""
النهارده كان اخر يوم فى الامتحانات.,We decided to start with Japanese culture.
طبعا كنت فرحان جدا انى هخلص امتحانات و اخد الاجازه، و اقدر اعمل كل اللى انا عاوزه فى الاجازه، خصوصا ان الترم كان صعب جدا.,We went and spent a day at the Japanese Embassy in Cairo.
كان مليان امتحانات و واجبات كتيره كان الواحد بيخلصها بصعوبه.,"""First, we tried on Japanese costumes."""
بعد لما خلصت الامتحان، اتصورت مع اصحابى صور للذكرى.,Hamza put one on.
و لعبنا بلاى ستيشن مع بعض.,"""Salman was encouraged by his brother when he saw this and put one on, too."""
و بعد كده قعدنا نتفق هنعمل ايه النهارده.,We got some really nice photos.
اتفقنا اننا نخرج ناكل مع بعض و نتمشى او نلعب بعد الاكل.,"""For a long time after that, Salman kept telling everyone he would meet, “I wore a Japanese costume."""
بس قلنا الاول لازم نستريح، نروح البيت و ننام شويه.,” He was really overjoyed.
و بعد كده ننزل و عملنا كده و روحت البيت نمت شويه و بعد كده قابلت اصحابى و رحنا النادى طلبنا الاكل اللى احنا بنحبه و اكلنا و بعد كده شربنا عصير و اتصورنا و قعدنا فى النادى شويه نتكلم عن اللى هنعمله فى الاجازه.,"""After that, there was a workshop for Origami, which is the art of folding paper to make fascinating art pieces."""
و كان فيه افكار جميله جدا سمعتها من اصحابى هحاول انفذها، زى مثلا تعلم لغه جديده او برنامج جديد و فيه اللى عاوز يسافر يستمتع بالجو فى اسكندريه او شرم الشيخ.,"""The workshop was for beginners, which was adequate for Hamza’s age."""
بعد كده اتمشينا على كورنيش النيل.,We made a butterfly and a Pokémon.
الجو كان جميل جدا اتمشينا كتير و الوقت عدى بسرعه.,"""Hamza was so happy, but Salman was scribbling on paper and going under the tables."""
محستش بالوقت مع اصحابى.,He was a bit too young for that activity.
استمتعت جدا باليوم.,"""As we were leaving, we took a few really nice magazines that told about Japanese life and culture."""
و اتقفقت مع اصحابى اننا لازم نتقابل فى الاجازه.,"""All in all, the day was very delightful for all of us."""
و بعد كده روحت البيت.,"""God willing, we intend to do the same again in other places soon."""
و كنت تعبان جدا بعد يوم جميل جدا.,See you soon on a new adventure!
غيرت لبسى و دخلت نمت بس كنت سعيد جدا انى خلصت امتحانات و الاجازه بدأت.,"""I work at Etisalat, which is one of the top telecom companies in the world."""
قررت اعمل حاجه مختلفه المره دى.,"""Etisalat is always thinking of new ideas to attract customers, and they’re always thinking about how to engage their employees, as well, and instill in them a love for their work and make them come up with new ideas to bring in new customers and revenue for the company."""
انا بحب امارس الرياضه فا سمعت عن لعبه جديده اسمها Street Workout.,Etisalat was the official sponsor for Al-Ahly club.
بدأت امارس اللعبه و بدأت تشدنى و بدأت فعلا احبها.,"""And it is, for those of you who don’t know, the top soccer team in Egypt with the largest numbers of fans."""
و كانت حاجه جميله جدا انى الاقى ناس فى مصر بتلعب اللعبه برضه.,This partnership had lasted from the launch of Etisalat Egypt until this year when Vodafone (Etisalat’s competitor) won the sponsorship contract for Al-Ahly and Vodafone commercials were all about Al-Ahly club.
و كان هدفهم انهم ينشروا اللعبه فا نظموا يوم الناس تتقابل فيه و تتمرن مع بعض.,Etisalat decided to hit back and announced that it has become the official sponsor of one of the biggest clubs in the world: Barcelona!
و كان اليوم يوم الجمعه وكنت لسه مخلص ثانويه عامه و كنت متحمس جدا انى اشوف ناس بيحبو نفس اللعبه و بيلعبوها.,"""It came out with really big publicity campaigns about this, and to inspire its employees, it decided to make a very innovative competition for them."""
